Running time for CPU version: 2.028205

00:            2076 |           14212 |           37870 |           70863 |          113190 | 
05:          162616 |          219792 |          281373 |          348231 |          418908 | 
10:          492542 |          568919 |          643293 |          723787 |          799933 | 
15:          878146 |          953657 |         1025635 |         1097551 |         1161963 | 
20:         1225131 |         1285543 |         1340874 |         1389657 |         1435607 | 
25:         1471150 |         1505326 |         1534652 |         1554499 |         1566213 | 
30:         1574002 |         1572648 |         1562633 |         1550305 |         1527753 | 
35:         1500146 |         1463004 |         1419940 |         1372128 |         1313777 | 
40:         1249134 |         1177114 |         1097835 |         1012343 |          920271 | 
45:          823626 |          723835 |          632337 |          548947 |          472904 | 
50:          405296 |          344273 |          289347 |          240911 |          197652 | 
55:          160654 |          129093 |          101564 |           78499 |           60069 | 
60:           44360 |           32554 |           23054 |           16448 |           11533 | 
65:            7835 |            5295 |            3371 |            2289 |            1372 | 
70:             804 |             450 |             222 |             104 |              34 | 
75:              16 |               8 |               2 |               0 |               0 
 T:49995000 
